KIMBERLEY,0.021,76.591
SHANNA,0.021,76.611
HELENA,0.021,76.632
CAROLINA,0.021,76.653
CLEO,0.021,76.674
STEFANIE,0.021,76.694
ROSARIO,0.02,76.715
OLA,0.02,76.735
JANINE,0.02,76.756
MOLLIE,0.02,76.776
LUPE,0.02,76.796
ALISA,0.02,76.816
LOU,0.02,76.836
MARIBEL,0.02,76.856
SUSANNE,0.02,76.875
BETTE,0.019,76.895
SUSANA,0.019,76.914
ELISE,0.019,76.933
CECILE,0.019,76.953
ISABELLE,0.019,76.972
LESLEY,0.019,76.991
JOCELYN,0.019,77.01
PAIGE,0.019,77.03
JONI,0.019,77.049
RACHELLE,0.019,77.068
LEOLA,0.019,77.087
DAPHNE,0.019,77.106
ALTA,0.019,77.125
ESTER,0.019,77.144
PETRA,0.019,77.162
GRACIELA,0.019,77.181
IMOGENE,0.019,77.2
JOLENE,0.019,77.219
KEISHA,0.019,77.237
LACEY,0.018,77.256
GLENNA,0.018,77.274
GABRIELA,0.018,77.293
KERI,0.018,77.311
URSULA,0.018,77.329
LIZZIE,0.018,77.347
KIRSTEN,0.018,77.366
SHANA,0.018,77.384
ADELINE,0.018,77.402
MAYRA,0.018,77.42
JAYNE,0.018,77.438
JACLYN,0.018,77.456
GRACIE,0.018,77.474
SONDRA,0.018,77.492
CARMELA,0.018,77.509
MARISA,0.018,77.527
ROSALIND,0.018,77.545
CHARITY,0.018,77.563
TONIA,0.018,77.58
BEATRIZ,0.018,77.598
MARISOL,0.018,77.616
CLARICE,0.018,77.633
JEANINE,0.017,77.651
SHEENA,0.017,77.668
ANGELINE,0.017,77.685
FRIEDA,0.017,77.703
LILY,0.017,77.72
ROBBIE,0.017,77.737
SHAUNA,0.017,77.754
MILLIE,0.017,77.771
CLAUDETTE,0.017,77.788
CATHLEEN,0.017,77.805
ANGELIA,0.017,77.822
GABRIELLE,0.017,77.839
AUTUMN,0.017,77.856
KATHARINE,0.017,77.873
SUMMER,0.017,77.89
JODIE,0.017,77.907
STACI,0.017,77.923
LEA,0.017,77.94
CHRISTI,0.017,77.957
JIMMIE,0.017,77.974
JUSTINE,0.017,77.99
ELMA,0.017,78.007
LUELLA,0.017,78.023
MARGRET,0.017,78.04
DOMINIQUE,0.016,78.056
SOCORRO,0.016,78.073
RENE,0.016,78.089
MARTINA,0.016,78.105
MARGO,0.016,78.122
MAVIS,0.016,78.138
CALLIE,0.016,78.154
BOBBI,0.016,78.17
MARITZA,0.016,78.186
LUCILE,0.016,78.202
LEANNE,0.016,78.219
JEANNINE,0.016,78.235
DEANA,0.016,78.251
AILEEN,0.016,78.267
LORIE,0.016,78.282
LADONNA,0.016,78.298
WILLA,0.016,78.314
MANUELA,0.016,78.33
GALE,0.016,78.346
SELMA,0.016,78.361
DOLLY,0.016,78.377
SYBIL,0.016,78.393
ABBY,0.016,78.408
LARA,0.016,78.424
DALE,0.016,78.44
IVY,0.016,78.455
DEE,0.016,78.471
WINNIE,0.016,78.486
MARCY,0.016,78.502
LUISA,0.016,78.517
JERI,0.015,78.533
MAGDALENA,0.015,78.548
OFELIA,0.015,78.563
MEAGAN,0.015,78.579
AUDRA,0.015,78.594
MATILDA,0.015,78.609
LEILA,0.015,78.624
CORNELIA,0.015,78.639
BIANCA,0.015,78.654
SIMONE,0.015,78.669
BETTYE,0.015,78.684
RANDI,0.015,78.699
VIRGIE,0.015,78.713
LATISHA,0.015,78.728
BARBRA,0.015,78.743
GEORGINA,0.015,78.758
ELIZA,0.015,78.772
LEANN,0.015,78.787
BRIDGETTE,0.015,78.801
RHODA,0.014,78.816
HALEY,0.014,78.83
ADELA,0.014,78.845
NOLA,0.014,78.859
BERNADINE,0.014,78.873
FLOSSIE,0.014,78.887
ILA,0.014,78.902
GRETA,0.014,78.916
RUTHIE,0.014,78.93
NELDA,0.014,78.944
MINERVA,0.014,78.958
LILLY,0.014,78.973
TERRIE,0.014,78.987
LETHA,0.014,79.001
HILARY,0.014,79.015
ESTELA,0.014,79.029
VALARIE,0.014,79.043
BRIANNA,0.014,79.057
ROSALYN,0.014,79.071
EARLINE,0.014,79.085
CATALINA,0.014,79.099
AVA,0.014,79.113
MIA,0.014,79.127
CLARISSA,0.014,79.141
LIDIA,0.014,79.155
CORRINE,0.014,79.169
ALEXANDRIA,0.014,79.183
CONCEPCION,0.014,79.196
TIA,0.014,79.21
SHARRON,0.014,79.224
RAE,0.014,79.238
DONA,0.014,79.251
ERICKA,0.014,79.265
JAMI,0.014,79.278
ELNORA,0.014,79.292
CHANDRA,0.014,79.306
LENORE,0.014,79.319
NEVA,0.013,79.333
MARYLOU,0.013,79.346
MELISA,0.013,79.36
TABATHA,0.013,79.373
SERENA,0.013,79.386
AVIS,0.013,79.4
ALLIE,0.013,79.413
SOFIA,0.013,79.426
JEANIE,0.013,79.439
ODESSA,0.013,79.453
NANNIE,0.013,79.466
HARRIETT,0.013,79.479
LORAINE,0.013,79.492
PENELOPE,0.013,79.505
MILAGROS,0.013,79.518
EMILIA,0.013,79.531
BENITA,0.013,79.544
ALLYSON,0.013,79.557
ASHLEE,0.013,79.57
TANIA,0.013,79.583
TOMMIE,0.013,79.596
ESMERALDA,0.013,79.608
KARINA,0.013,79.621
EVE,0.013,79.634
PEARLIE,0.013,79.647
ZELMA,0.013,79.659
MALINDA,0.013,79.672
NOREEN,0.013,79.684
TAMEKA,0.013,79.697
SAUNDRA,0.013,79.71
HILLARY,0.013,79.722
AMIE,0.013,79.735
ALTHEA,0.012,79.747
ROSALINDA,0.012,79.76
JORDAN,0.012,79.772
LILIA,0.012,79.784
ALANA,0.012,79.797
GAY,0.012,79.809
CLARE,0.012,79.821
ALEJANDRA,0.012,79.834
ELINOR,0.012,79.846
MICHAEL,0.012,79.858
LORRIE,0.012,79.87
JERRI,0.012,79.882
DARCY,0.012,79.895
EARNESTINE,0.012,79.907
CARMELLA,0.012,79.919
TAYLOR,0.012,79.931
NOEMI,0.012,79.943
MARCIE,0.012,79.954
LIZA,0.012,79.966
ANNABELLE,0.012,79.978
LOUISA,0.012,79.99
EARLENE,0.012,80.002
MALLORY,0.012,80.014
CARLENE,0.012,80.025
NITA,0.012,80.037
SELENA,0.012,80.049
TANISHA,0.012,80.06
KATY,0.012,80.072
JULIANNE,0.012,80.083
JOHN,0.012,80.095
LAKISHA,0.011,80.106
EDWINA,0.011,80.118
MARICELA,0.011,80.129
MARGERY,0.011,80.141
KENYA,0.011,80.152
DOLLIE,0.011,80.164
ROXIE,0.011,80.175
ROSLYN,0.011,80.187
KATHRINE,0.011,80.198
NANETTE,0.011,80.209
CHARMAINE,0.011,80.221
LAVONNE,0.011,80.232
ILENE,0.011,80.243
KRIS,0.011,80.255
TAMMI,0.011,80.266
SUZETTE,0.011,80.277
CORINE,0.011,80.288
KAYE,0.011,80.3
JERRY,0.011,80.311
MERLE,0.011,80.322
CHRYSTAL,0.011,80.333
LINA,0.011,80.344
DEANNE,0.011,80.355
LILIAN,0.011,80.366
JULIANA,0.011,80.377
ALINE,0.011,80.388
LUANN,0.011,80.399
KASEY,0.011,80.41
MARYANNE,0.011,80.421
EVANGELINE,0.011,80.432
COLETTE,0.011,80.443
MELVA,0.011,80.453
LAWANDA,0.011,80.464
YESENIA,0.011,80.475
NADIA,0.011,80.486
MADGE,0.011,80.497
KATHIE,0.011,80.507
EDDIE,0.011,80.518
OPHELIA,0.011,80.529
VALERIA,0.011,80.539
NONA,0.011,80.55
MITZI,0.011,80.561
MARI,0.011,80.571
GEORGETTE,0.011,80.582
CLAUDINE,0.011,80.592
FRAN,0.011,80.603
ALISSA,0.011,80.613
ROSEANN,0.01,80.624
LAKEISHA,0.01,80.634
SUSANNA,0.01,80.645
REVA,0.01,80.655
DEIDRE,0.01,80.665
CHASITY,0.01,80.676
SHEREE,0.01,80.686
CARLY,0.01,80.697
JAMES,0.01,80.707
ELVIA,0.01,80.717
ALYCE,0.01,80.728
DEIRDRE,0.01,80.738
GENA,0.01,80.748
BRIANA,0.01,80.758
ARACELI,0.01,80.769
KATELYN,0.01,80.779
ROSANNE,0.01,80.789
WENDI,0.01,80.799
TESSA,0.01,80.81
BERTA,0.01,80.82
MARVA,0.01,80.83
IMELDA,0.01,80.84
MARIETTA,0.01,80.85
MARCI,0.01,80.86
LEONOR,0.01,80.87
ARLINE,0.01,80.88
SASHA,0.01,80.89
MADELYN,0.01,80.9
JANNA,0.01,80.91
JULIETTE,0.01,80.92
DEENA,0.01,80.929
AURELIA,0.01,80.939
JOSEFA,0.01,80.949
AUGUSTA,0.01,80.959
LILIANA,0.01,80.968
YOUNG,0.01,80.978
CHRISTIAN,0.01,80.988
LESSIE,0.01,80.997
AMALIA,0.01,81.007
SAVANNAH,0.01,81.017
ANASTASIA,0.01,81.026
VILMA,0.01,81.036
NATALIA,0.01,81.045
ROSELLA,0.01,81.055
LYNNETTE,0.01,81.064
CORINA,0.01,81.074
ALFREDA,0.009,81.083
LEANNA,0.009,81.093
CAREY,0.009,81.102
AMPARO,0.009,81.112
COLEEN,0.009,81.121
TAMRA,0.009,81.131
AISHA,0.009,81.14
WILDA,0.009,81.149
KARYN,0.009,81.159
CHERRY,0.009,81.168
QUEEN,0.009,81.177
MAURA,0.009,81.187
MAI,0.009,81.196
EVANGELINA,0.009,81.205
ROSANNA,0.009,81.214
HALLIE,0.009,81.224
ERNA,0.009,81.233
ENID,0.009,81.242
MARIANA,0.009,81.251
LACY,0.009,81.26
JULIET,0.009,81.27
JACKLYN,0.009,81.279
FREIDA,0.009,81.288
MADELEINE,0.009,81.297
MARA,0.009,81.306
HESTER,0.009,81.315
CATHRYN,0.009,81.324
LELIA,0.009,81.333
CASANDRA,0.009,81.343
BRIDGETT,0.009,81.352
ANGELITA,0.009,81.361
JANNIE,0.009,81.37
DIONNE,0.009,81.379
ANNMARIE,0.009,81.388
KATINA,0.009,81.397
BERYL,0.009,81.405
PHOEBE,0.009,81.414
MILLICENT,0.009,81.423
KATHERYN,0.009,81.432
DIANN,0.009,81.441
CARISSA,0.009,81.45
MARYELLEN,0.009,81.459
LIZ,0.009,81.468
LAURI,0.009,81.476
HELGA,0.009,81.485
GILDA,0.009,81.494
ADRIAN,0.009,81.503
RHEA,0.009,81.511
MARQUITA,0.009,81.52
HOLLIE,0.009,81.529
TISHA,0.009,81.538
TAMERA,0.009,81.546
ANGELIQUE,0.009,81.555
FRANCESCA,0.009,81.564
BRITNEY,0.009,81.573
KAITLIN,0.009,81.581
LOLITA,0.009,81.59
FLORINE,0.009,81.599
ROWENA,0.009,81.607
REYNA,0.009,81.616
TWILA,0.009,81.624
FANNY,0.009,81.633
JANELL,0.009,81.641
INES,0.009,81.65
CONCETTA,0.009,81.658
BERTIE,0.009,81.667
ALBA,0.009,81.676
BRIGITTE,0.009,81.684
ALYSON,0.009,81.693
VONDA,0.008,81.701
PANSY,0.008,81.71
ELBA,0.008,81.718
NOELLE,0.008,81.726
LETITIA,0.008,81.735
KITTY,0.008,81.743
DEANN,0.008,81.752
BRANDIE,0.008,81.76
LOUELLA,0.008,81.769
LETA,0.008,81.777
FELECIA,0.008,81.786
SHARLENE,0.008,81.794
LESA,0.008,81.802
BEVERLEY,0.008,81.811
ROBERT,0.008,81.819
ISABELLA,0.008,81.827
HERMINIA,0.008,81.836
TERRA,0.008,81.844
CELINA,0.008,81.852
TORI,0.008,81.861
OCTAVIA,0.008,81.869
JADE,0.008,81.877
DENICE,0.008,81.885
GERMAINE,0.008,81.894
SIERRA,0.008,81.902
MICHELL,0.008,81.91
