ELLIOTT,0.052,24.831
CHAVEZ,0.052,24.883
SIMS,0.052,24.936
AUSTIN,0.052,24.988
PETERS,0.052,25.04
KELLEY,0.052,25.092
FRANKLIN,0.051,25.143
LAWSON,0.051,25.195
FIELDS,0.051,25.246
GUTIERREZ,0.051,25.297
RYAN,0.051,25.348
SCHMIDT,0.051,25.4
CARR,0.051,25.451
VASQUEZ,0.051,25.502
CASTILLO,0.051,25.552
WHEELER,0.051,25.603
CHAPMAN,0.05,25.653
OLIVER,0.05,25.703
MONTGOMERY,0.049,25.753
RICHARDS,0.049,25.802
WILLIAMSON,0.049,25.851
JOHNSTON,0.049,25.9
BANKS,0.048,25.948
MEYER,0.048,25.996
BISHOP,0.048,26.045
MCCOY,0.048,26.093
HOWELL,0.048,26.14
ALVAREZ,0.048,26.188
MORRISON,0.048,26.235
HANSEN,0.047,26.283
FERNANDEZ,0.047,26.33
GARZA,0.047,26.377
HARVEY,0.047,26.424
LITTLE,0.046,26.47
BURTON,0.046,26.516
STANLEY,0.046,26.562
NGUYEN,0.046,26.608
GEORGE,0.046,26.653
JACOBS,0.046,26.699
REID,0.046,26.745
KIM,0.045,26.79
FULLER,0.045,26.835
LYNCH,0.045,26.88
DEAN,0.045,26.925
GILBERT,0.045,26.97
GARRETT,0.045,27.015
ROMERO,0.045,27.059
WELCH,0.044,27.104
LARSON,0.044,27.148
FRAZIER,0.044,27.192
BURKE,0.044,27.235
HANSON,0.043,27.279
DAY,0.043,27.322
MENDOZA,0.043,27.365
MORENO,0.043,27.407
BOWMAN,0.043,27.45
MEDINA,0.042,27.492
FOWLER,0.042,27.535
BREWER,0.042,27.577
HOFFMAN,0.042,27.619
CARLSON,0.042,27.661
SILVA,0.042,27.703
PEARSON,0.042,27.744
HOLLAND,0.042,27.786
DOUGLAS,0.041,27.827
FLEMING,0.041,27.868
JENSEN,0.041,27.909
VARGAS,0.041,27.95
BYRD,0.041,27.991
DAVIDSON,0.041,28.032
HOPKINS,0.041,28.072
MAY,0.04,28.113
TERRY,0.04,28.153
HERRERA,0.04,28.193
WADE,0.04,28.233
SOTO,0.04,28.273
WALTERS,0.04,28.313
CURTIS,0.04,28.352
NEAL,0.039,28.392
CALDWELL,0.039,28.431
LOWE,0.039,28.471
JENNINGS,0.039,28.51
BARNETT,0.039,28.549
GRAVES,0.039,28.588
JIMENEZ,0.039,28.628
HORTON,0.039,28.667
SHELTON,0.039,28.706
BARRETT,0.039,28.745
OBRIEN,0.039,28.783
CASTRO,0.039,28.822
SUTTON,0.038,28.86
GREGORY,0.038,28.899
MCKINNEY,0.038,28.937
LUCAS,0.038,28.975
MILES,0.038,29.013
CRAIG,0.038,29.051
RODRIQUEZ,0.037,29.088
CHAMBERS,0.037,29.126
HOLT,0.037,29.163
LAMBERT,0.037,29.2
FLETCHER,0.037,29.237
WATTS,0.037,29.274
BATES,0.037,29.311
HALE,0.037,29.348
RHODES,0.037,29.385
PENA,0.037,29.421
BECK,0.037,29.458
NEWMAN,0.036,29.494
HAYNES,0.036,29.531
MCDANIEL,0.036,29.567
MENDEZ,0.036,29.603
BUSH,0.036,29.639
VAUGHN,0.036,29.675
PARKS,0.035,29.711
DAWSON,0.035,29.746
SANTIAGO,0.035,29.781
NORRIS,0.035,29.817
HARDY,0.035,29.852
LOVE,0.035,29.887
STEELE,0.035,29.921
CURRY,0.035,29.956
POWERS,0.035,29.991
SCHULTZ,0.035,30.025
BARKER,0.035,30.06
GUZMAN,0.034,30.094
PAGE,0.034,30.129
MUNOZ,0.034,30.163
